gtap_number,gtap_code,gtap_name,comtrade_code,country_name
1,AUS,Australia,AUS,Australia
1,AUS,Australia,CXR,Christmas Island
1,AUS,Australia,CCK,Cocos (Keeling) Islands
1,AUS,Australia,HMD,Heard Island and McDonald Islands
1,AUS,Australia,NFK,Norfolk Island
2,NZL,New Zealand,NZL,New Zealand
3,XOC,Rest of Oceania,ASM,American Samoa
3,XOC,Rest of Oceania,COK,Cook Islands
3,XOC,Rest of Oceania,FJI,Fiji
3,XOC,Rest of Oceania,PYF,French Polynesia
3,XOC,Rest of Oceania,GUM,Guam
3,XOC,Rest of Oceania,KIR,Kiribati
3,XOC,Rest of Oceania,MHL,Marshall Islands
3,XOC,Rest of Oceania,FSM,"Micronesia, Federated States of"
3,XOC,Rest of Oceania,NRU,Nauru
3,XOC,Rest of Oceania,NCL,New Caledonia
3,XOC,Rest of Oceania,NIU,Niue
3,XOC,Rest of Oceania,MNP,Northern Mariana Islands
3,XOC,Rest of Oceania,PLW,Palau
3,XOC,Rest of Oceania,PNG,Papua New Guinea
3,XOC,Rest of Oceania,PCN,Pitcairn
3,XOC,Rest of Oceania,WSM,Samoa
3,XOC,Rest of Oceania,SLB,Solomon Islands
3,XOC,Rest of Oceania,TKL,Tokelau
3,XOC,Rest of Oceania,TON,Tonga
3,XOC,Rest of Oceania,TUV,Tuvalu
3,XOC,Rest of Oceania,UMI,United States Minor Outlying Islands
3,XOC,Rest of Oceania,VUT,Vanuatu
3,XOC,Rest of Oceania,WLF,Wallis and Futuna Islands
4,CHN,China,CHN,China
5,HKG,"Hong Kong, Special Administrative Region of China",HKG,"Hong Kong, Special Administrative Region of China"
6,JPN,Japan,JPN,Japan
7,KOR,"Korea, Republic of",KOR,"Korea, Republic of"
8,MNG,Mongolia,MNG,Mongolia
9,TWN,Taiwan,TWN,Taiwan
10,XEA,Rest of East Asia,PRK,"Korea, Democratic People's Republic of"
10,XEA,Rest of East Asia,MAC,"Macao, Special Administrative Region of China"
11,BRN,Brunei Darussalam,BRN,Brunei Darussalam
12,KHM,Cambodia,KHM,Cambodia
13,IDN,Indonesia,IDN,Indonesia
14,LAO,Lao PDR,LAO,Lao PDR
15,MYS,Malaysia,MYS,Malaysia
16,PHL,Philippines,PHL,Philippines
17,SGP,Singapore,SGP,Singapore
18,THA,Thailand,THA,Thailand
19,VNM,Viet Nam,VNM,Viet Nam
20,XSE,Rest of Southeast Asia,MMR,Myanmar
20,XSE,Rest of Southeast Asia,TLS,Timor-Leste
21,BGD,Bangladesh,BGD,Bangladesh
22,IND,India,IND,India
23,NPL,Nepal,NPL,Nepal
24,PAK,Pakistan,PAK,Pakistan
25,LKA,Sri Lanka,LKA,Sri Lanka
26,XSA,Rest of South Asia,AFG,Afghanistan
26,XSA,Rest of South Asia,BTN,Bhutan
26,XSA,Rest of South Asia,MDV,Maldives
27,CAN,Canada,CAN,Canada
28,USA,United States of America,USA,United States of America
29,MEX,Mexico,MEX,Mexico
30,XNA,Rest of North America,BMU,Bermuda
30,XNA,Rest of North America,GRL,Greenland
30,XNA,Rest of North America,SPM,Saint Pierre and Miquelon
31,ARG,Argentina,ARG,Argentina
32,BOL,Bolivia,BOL,Bolivia
33,BRA,Brazil,BRA,Brazil
34,CHL,Chile,CHL,Chile
35,COL,Colombia,COL,Colombia
36,ECU,Ecuador,ECU,Ecuador
37,PRY,Paraguay,PRY,Paraguay
38,PER,Peru,PER,Peru
39,URY,Uruguay,URY,Uruguay
40,VEN,Venezuela (Bolivarian Republic of),VEN,Venezuela (Bolivarian Republic of)
41,XSM,Rest of South America,FLK,Falkland Islands (Malvinas)
41,XSM,Rest of South America,GUF,French Guiana
41,XSM,Rest of South America,GUY,Guyana
41,XSM,Rest of South America,SGS,South Georgia and the South Sandwich Islands
41,XSM,Rest of South America,SUR,Suriname
42,CRI,Costa Rica,CRI,Costa Rica
43,GTM,Guatemala,GTM,Guatemala
44,HND,Honduras,HND,Honduras
45,NIC,Nicaragua,NIC,Nicaragua
46,PAN,Panama,PAN,Panama
47,SLV,El Salvador,SLV,El Salvador
48,XCA,Rest of Central America,BLZ,Belize
49,DOM,Dominican Republic,DOM,Dominican Republic
50,JAM,Jamaica,JAM,Jamaica
51,PRI,Puerto Rico,PRI,Puerto Rico
52,TTO,Trinidad and Tobago,TTO,Trinidad and Tobago
53,XCB,Rest of Caribbean,AIA,Anguilla
53,XCB,Rest of Caribbean,ATG,Antigua and Barbuda
53,XCB,Rest of Caribbean,ABW,Aruba
53,XCB,Rest of Caribbean,BHS,Bahamas
53,XCB,Rest of Caribbean,BRB,Barbados
53,XCB,Rest of Caribbean,VGB,British Virgin Islands
53,XCB,Rest of Caribbean,CYM,Cayman Islands
53,XCB,Rest of Caribbean,CUB,Cuba
53,XCB,Rest of Caribbean,DMA,Dominica
53,XCB,Rest of Caribbean,GRD,Grenada
53,XCB,Rest of Caribbean,HTI,Haiti
53,XCB,Rest of Caribbean,MSR,Montserrat
53,XCB,Rest of Caribbean,CUW,Curaçao
53,XCB,Rest of Caribbean,SXM,Sint Maarten
53,XCB,Rest of Caribbean,BES,Caribbean Netherlands
53,XCB,Rest of Caribbean,KNA,Saint Kitts and Nevis
53,XCB,Rest of Caribbean,LCA,Saint Lucia
53,XCB,Rest of Caribbean,VCT,Saint Vincent and Grenadines
53,XCB,Rest of Caribbean,TCA,Turks and Caicos Islands
53,XCB,Rest of Caribbean,VIR,"Virgin Islands, US"
54,AUT,Austria,AUT,Austria
55,BEL,Belgium,BEL,Belgium
56,BGR,Bulgaria,BGR,Bulgaria
57,HRV,Croatia,HRV,Croatia
58,CYP,Cyprus,CYP,Cyprus
59,CZE,Czech Republic,CZE,Czech Republic
60,DNK,Denmark,DNK,Denmark
61,EST,Estonia,EST,Estonia
